detected_at,company,title,location,flags,url
2026-08-16T23:36:59.191218+00:00,Databricks,Product Management Intern (Summer 2027),"Bellevue, Washington; Mountain View, California; San Francisco, California",,https://databricks.com/company/careers/open-positions/job?gh_jid=6883068002
2026-08-16T23:36:59.191218+00:00,Figma,Software Engineer Intern (Winter 2027),"San Francisco, CA • New York, NY",,https://boards.greenhouse.io/figma/jobs/6131089004?gh_jid=6131089004
2026-08-16T23:36:59.191218+00:00,Robinhood,Customer Experience Associate (New Grad),"Westlake, TX",,https://boards.greenhouse.io/robinhood/jobs/8122623?t=gh_src=&gh_jid=8122623
2026-08-19T13:00:01.856362+00:00,NVIDIA,NVIDIA 2027 Internships: Software Engineering,"US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Software-Engineering_JR2023495
2026-08-19T13:00:01.856362+00:00,NVIDIA,NVIDIA 2027 Internships: Systems Software Engineering,"US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Systems-Software-Engineering_JR2023492
2026-08-19T13:00:01.856362+00:00,NVIDIA,NVIDIA Spring 2027 Internships: Developer and Performance Technology,"US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIDIA-Spring-2027-Internships--Developer-and-Performance-Technology_JR2023499
2026-08-19T19:32:43.889678+00:00,Point72,2027 Cubist Quant Academy – Developers,New York,,https://boards.greenhouse.io/point72/jobs/7598678002?gh_jid=7598678002
2026-08-20T23:44:58.977654+00:00,Databricks,Software Engineering Intern (2027 Start) - Winter,"Bellevue, Washington; Mountain View, California; San Francisco, California",,https://databricks.com/company/careers/open-positions/job?gh_jid=8732364002
2026-08-21T21:58:55.600544+00:00,NVIDIA,"Research Engineer, Interactive World Models - New College Grad 2026","US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Engineer--Interactive-World-Models---New-College-Grad-2026_JR2023950
2026-08-21T23:00:06.802987+00:00,NVIDIA,Architecture Energy Modeling Engineer - New College Grad 2026,"US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Architecture-Energy-Modeling-Engineer---New-College-Grad-2026_JR2023398
2026-08-25T01:23:51.858274+00:00,NVIDIA,"Technical Product Marketing Engineer, Metropolis - New College Grad 2026","US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Technical-Product-Marketing-Engineer--Metropolis---New-College-Grad-2026_JR2022906-1
2026-08-25T19:50:01.799691+00:00,NVIDIA,Cell Modeling and Verification Engineer - New College Grad 2026,"US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Cell-Modelling-and-Verification-Engineer---New-College-Grad-2026_JR2011631
2026-08-27T22:10:06.711584+00:00,NVIDIA,"Compiler Engineer, Backend- New College Grad 2026","US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Compiler-Engineer--Backend--New-College-Grad-2026_JR2017290
2026-09-01T00:31:57.650347+00:00,Stripe,"Software Engineer, New Grad","San Francisco, Seattle, New York",,https://stripe.com/jobs/search?gh_jid=8128744
2026-09-02T03:37:04.231089+00:00,NVIDIA,Applied Systems Engineering Rotation Engineer - New College Graduate 2026,"US, CA, Santa Clara",❓ no description,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-Systems-Engineering-Rotation-Engineer---New-College-Graduate-2026_JR2024713
2026-09-03T16:17:00.509792+00:00,Waymo,"2027 Summer Intern, BS, SysEng Software Engineer","Mountain View, California, USA ",,https://careers.withwaymo.com/jobs?gh_jid=8174099
2026-09-03T17:53:00.945963+00:00,Arista Networks,Advisory Systems Engineer - NYC,"New York, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000140705799
2026-09-03T17:53:00.945963+00:00,Arista Networks,Advisory/ Resident Systems Engineer - (Mandarin required),"San Jose, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000130221863
2026-09-03T17:53:00.945963+00:00,Arista Networks,BIOS Software Engineer,"Nashua, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000136210390
2026-09-03T17:53:00.945963+00:00,Arista Networks,BIOS Software Engineer,"Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000120036637
2026-09-03T17:53:00.945963+00:00,Arista Networks,BIOS Software Engineer,"Austin, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000119389508
2026-09-03T17:53:00.945963+00:00,Arista Networks,BIOS Software Engineer,"Santa Clara, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000119391376
2026-09-03T17:53:00.945963+00:00,Arista Networks,Cloud Engineer,"Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000141531419
2026-09-03T17:53:00.945963+00:00,Arista Networks,Diagnostics Software Engineer,"Nashua, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000129323999
2026-09-03T17:53:00.945963+00:00,Arista Networks,Diagnostics Software Engineer,"Santa Clara, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000120765457
2026-09-03T17:53:00.945963+00:00,Arista Networks,FPGA Design Engineer - Poland,"Poland - Remote, pl",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000120368501
2026-09-03T17:53:00.945963+00:00,Arista Networks,FedRAMP Site Reliability Engineer (FedSRE) - CloudVision,"Remote, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000095464732
2026-09-03T17:53:00.945963+00:00,Arista Networks,Full Stack Application Developer,"Cary, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000128632704
2026-09-03T17:53:00.945963+00:00,Arista Networks,Intern Software Engineers - C/C++,"Poland - Remote, pl",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000145998379
2026-09-03T17:53:00.945963+00:00,Arista Networks,Linux Kernel Software Engineer,"Nashua, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000136211787
2026-09-03T17:53:00.945963+00:00,Arista Networks,Linux Kernel Software Engineer,"Austin, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000119379088
2026-09-03T17:53:00.945963+00:00,Arista Networks,Linux Kernel Software Engineer,"Santa Clara, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000119379037
2026-09-03T17:53:00.945963+00:00,Arista Networks,Network Systems Engineer (Pre Sales) - Trading Platforms,"Chicago, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000145311011
2026-09-03T17:53:00.945963+00:00,Arista Networks,Network Systems Engineer (Pre-Sales),"Houston, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000141514964
2026-09-03T17:53:00.945963+00:00,Arista Networks,Network Systems Engineer (Pre-Sales) - NYC,"New York, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000143561439
2026-09-03T17:53:00.945963+00:00,Arista Networks,Optics Software Engineer Lead,"Santa Clara, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000134006953
2026-09-03T17:53:00.945963+00:00,Arista Networks,PCIe Software Engineer,"Nashua, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000136289799
2026-09-03T17:53:00.945963+00:00,Arista Networks,PCIe Software Engineer,"Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000122557787
2026-09-03T17:53:00.945963+00:00,Arista Networks,PCIe Software Engineer,"Austin, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000122124136
2026-09-03T17:53:00.945963+00:00,Arista Networks,PCIe Software Engineer,"Santa Clara, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000122122337
2026-09-03T17:53:00.945963+00:00,Arista Networks,Site Reliability Engineer (SRE/ DevOps) - Engineering Productivity,"Poland - Remote, pl",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000139028051
2026-09-03T17:53:00.945963+00:00,Arista Networks,Software Engineer,"Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000120036119
2026-09-03T17:53:00.945963+00:00,Arista Networks,Software Engineer ,"Poland - Remote, pl",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000136864309
2026-09-03T17:53:00.945963+00:00,Arista Networks,Software Engineer (Packet Forwarding Engines),"Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000120037747
2026-09-03T17:53:00.945963+00:00,Arista Networks,Software Engineer - Linux Kernel,"Poland - Remote, pl",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000125812964
2026-09-03T17:53:00.945963+00:00,Arista Networks,Software Engineer - SONiC,"Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000120037097
2026-09-03T17:53:00.945963+00:00,Arista Networks,Software Engineer Cloud EOS Team (Poland/Romania/Hungary/Greece),"Remote, ie",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000050199285
2026-09-03T17:53:00.945963+00:00,Arista Networks,"Software Engineer, Layer1","Poland - Remote, pl",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000142622720
2026-09-03T17:53:00.945963+00:00,Arista Networks,"Software Engineer, Layer1","Nashua, us",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000136210329
2026-09-03T17:53:00.945963+00:00,Arista Networks,"Software Engineer, Layer1","Vancouver, ca",❓ no description,https://api.smartrecruiters.com/v1/companies/aristanetworks/postings/744000127704964
